"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All states (including the District of Columbia) are required to provide data to The Centers for Medicare & Medicaid Services (CMS) on a range of indicators related to key application, eligibility, and enrollment processes within the state Medicaid and Children’s Health Insurance Programs (CHIP). These data reflect enrollment activity for all populations receiving comprehensive Medicaid and CHIP benefits in all states, as well as state program performance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://data.medicaid.gov/Enrollment/State-Medicaid-and-CHIP-Applications-Eligibility-D/n5ce-jxme/data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total New Determinations,Total New Determinations - footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
OK,Oklahoma,8/1/2018,N,P,N,"51,358",,N/A,,"51,358",,"45,579",,"8,433",,"54,012",,512323,,"783,143",,42.1497,-74.9384,"(42.1497, -74.9384)",663517,,119626,
OK,Oklahoma,8/1/2018,N,U,Y,"51,358",Includes Renewals and/or Redeterminations,N/A,,"51,358",Includes Renewals and/or Redeterminations,"45,579",,"8,433",,"54,012",,512323,,"783,143",,42.1497,-74.9384,"(42.1497, -74.9384)",663517,,119626,
OR,Oregon,8/1/2018,Y,P,N,"13,089",Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,"13,089",Does Not Include All Non-MAGI Applications,"24,808","Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application","2,680",,"27,488",Does Not Include All Non-MAGI Determinations Made At Application,410022,,"963,146",,40.3736,-82.7755,"(40.3736, -82.7755)",839092,,124054,
OR,Oregon,8/1/2018,Y,U,Y,"13,427",Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,"13,427",Does Not Include All Non-MAGI Applications,"24,585","Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application","2,603",,"27,188",Does Not Include All Non-MAGI Determinations Made At Application,414720,,"972,190",,40.3736,-82.7755,"(40.3736, -82.7755)",846403,,125787,
PA,Pennsylvania,8/1/2018,Y,P,N,"77,239",Includes Renewals and/or Redeterminations,N/A,,"77,239",Includes Renewals and/or Redeterminations,"91,865",Includes Renewals and/or Redeterminations,"9,984",,"101,849",Includes Renewals and/or Redeterminations,1395797,,"2,958,805",,35.5376,-96.9247,"(35.5376, -96.9247)",2780211,,178594,
PA,Pennsylvania,8/1/2018,Y,U,Y,"96,596",Includes Renewals and/or Redeterminations,N/A,,"96,596",Includes Renewals and/or Redeterminations,"91,865",Includes Renewals and/or Redeterminations,"9,984",,"101,849",Includes Renewals and/or Redeterminations,1405402,,"2,983,522",,35.5376,-96.9247,"(35.5376, -96.9247)",2804928,,178594,
RI,Rhode Island,8/1/2018,Y,P,N,"2,670","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,"2,670","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)","3,529",,544,,"4,073",,123136,,"311,323",,44.5672,-122.1269,"(44.5672, -122.1269)",279807,,31516,
RI,Rhode Island,8/1/2018,Y,U,Y,"2,670","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,"2,670","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)","3,529",,544,,"4,073",,123512,,"312,377",,44.5672,-122.1269,"(44.5672, -122.1269)",280763,,31614,
SC,South Carolina,8/1/2018,N,P,N,"27,016",,N/A,,"27,016",,"8,424",Does Not Include All Medicaid Determinations Made At Application,227,Does Not Include All CHIP Determinations Made At Application,"8,651",Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,638063,,"1,014,760",,40.5773,-77.264,"(40.5773, -77.264)",928966,,85794,
SC,South Carolina,8/1/2018,N,U,Y,"27,016",,N/A,,"27,016",,"8,424",Does Not Include All Medicaid Determinations Made At Application,227,Does Not Include All CHIP Determinations Made At Application,"8,651",Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,652597,,"1,041,709",,40.5773,-77.264,"(40.5773, -77.264)",953218,,88491,
SD,South Dakota,8/1/2018,N,P,N,"2,854",Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,"2,854",Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,"1,737","Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations","1,737","Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",79845,,"117,563",,18.2766,-66.335,"(18.2766, -66.335)",101692,,15871,
SD,South Dakota,8/1/2018,N,U,Y,"2,854",Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,"2,854",Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,"1,737","Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations","1,737","Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",79845,,"117,563",,18.2766,-66.335,"(18.2766, -66.335)",101692,,15871,
TN,Tennessee,8/1/2018,N,P,N,560,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,N/A,,560,Does Not Include All Medicaid Applications,,Does Not Include All Medicaid Determinations Made At Application,486,,486,Does Not Include All Medicaid Determinations Made At Application,,,"1,372,563",,41.6772,-71.5101,"(41.6772, -71.5101)",1320749,,51814,
TN,Tennessee,8/1/2018,N,U,Y,560,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,N/A,,560,Does Not Include All Medicaid Applications,,Does Not Include All Medicaid Determinations Made At Application,486,,486,Does Not Include All Medicaid Determinations Made At Application,,,"1,384,347",,41.6772,-71.5101,"(41.6772, -71.5101)",1331629,,52718,
TX,Texas,8/1/2018,N,P,N,"104,560",,N/A,,"104,560",,"97,450",,"15,189",,"112,639",,3420629,,"4,332,904",,33.8191,-80.9066,"(33.8191, -80.9066)",3684765,,648139,
TX,Texas,8/1/2018,N,U,Y,"140,678",,N/A,,"140,678",,"97,483",,"15,189",,"112,672",,3444386,,"4,362,456",,33.8191,-80.9066,"(33.8191, -80.9066)",3745909,,616547,
UT,Utah,8/1/2018,N,P,N,"24,903","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,"24,903","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM","43,994",Includes CHIP,,,"43,994",,200616,,"293,370",Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",248826,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44544,
UT,Utah,8/1/2018,N,U,Y,"25,943","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,"25,943","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM","43,994",Includes CHIP,,,"43,994",,203027,,"297,259",Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",252325,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44934,
VT,Vermont,8/1/2018,Y,P,N,"3,056",,1322,,"4,378",Includes Renewals and/or Redeterminations,"3,287",Includes Renewals and/or Redeterminations,68,,"3,355",,63007,,"161,316",,31.106,-97.6475,"(31.106, -97.6475)",156955,,4361,
VT,Vermont,8/1/2018,Y,U,Y,"3,056",,1324,,"4,380",Includes Renewals and/or Redeterminations,"5,287",Includes Renewals and/or Redeterminations,144,,"5,431",,63587,,"162,742",,31.106,-97.6475,"(31.106, -97.6475)",158324,,4418,
VA,Virginia,8/1/2018,N,P,N,"17,575",Includes Renewals and/or Redeterminations,N/A,,"17,575",Includes Renewals and/or Redeterminations,"15,089",Includes Renewals and/or Redeterminations,720,Includes Renewals and/or Redeterminations,"15,809",Includes Renewals and/or Redeterminations,689255,,"1,035,053",,35.7449,-86.7489,"(35.7449, -86.7489)",897782,,137271,
VA,Virginia,8/1/2018,N,U,Y,"23,116",Includes Renewals and/or Redeterminations,N/A,,"23,116",Includes Renewals and/or Redeterminations,"19,305",Includes Renewals and/or Redeterminations,927,Includes Renewals and/or Redeterminations,"20,232",Includes Renewals and/or Redeterminations,697352,,"1,046,885",,35.7449,-86.7489,"(35.7449, -86.7489)",908048,,138837,
WA,Washington,8/1/2018,Y,P,N,"71,842",,74567,,"146,409",,"107,717",,"2,053",,"109,770",,831550,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),"1,739,945",Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1674846,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),65099,
WA,Washington,8/1/2018,Y,U,Y,"74,726",,75822,,"150,548",,"107,716",,"2,047",,"109,763",,831550,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),"1,739,945",Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1674846,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),65099,
WV,West Virginia,8/1/2018,Y,P,N,"24,455",,N/A,,"24,455",,"13,013",,690,,"13,703",,218902,,"544,069",,18.0001,-64.8199,"(18.0001, -64.8199)",510721,,33348,
WV,West Virginia,8/1/2018,Y,U,Y,"24,455",,N/A,,"24,455",,"13,013",,690,,"13,703",,218902,,"544,069",,18.0001,-64.8199,"(18.0001, -64.8199)",510721,,33348,
WI,Wisconsin,8/1/2018,N,P,N,"25,822",Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,"25,822",Does Not Include All Applications for Limited-Benefit Programs,"19,106","Count is of Households, Not Individuals","1,131",,"20,237",,485930,,"1,032,565",,37.768,-78.2057,"(37.768, -78.2057)",963580,,68985,
WI,Wisconsin,8/1/2018,N,U,Y,"26,103",Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,"26,103",Does Not Include All Applications for Limited-Benefit Programs,"19,106","Count is of Households, Not Individuals","1,131",,"20,237",,485930,,"1,032,565",,37.768,-78.2057,"(37.768, -78.2057)",963580,,68985,
WY,Wyoming,8/1/2018,N,P,N,"1,610",Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,"1,610",Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,774,,23,,797,,38622,,"57,969",,44.0407,-72.7093,"(44.0407, -72.7093)",53489,,4480,
WY,Wyoming,8/1/2018,N,U,Y,"1,745",Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,"1,745",Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,774,,23,,797,,39792,,"59,605",,44.0407,-72.7093,"(44.0407, -72.7093)",54983,,4622,
AL,Alabama,7/1/2018,N,P,N,"20,490",,N/A,,"20,490",,"28,274",,"3,002",,"31,276",,635976,,"899,824",,32.799,-86.8073,"(32.799, -86.8073)",730801,,169023,
AL,Alabama,7/1/2018,N,U,Y,"20,490",,N/A,,"20,490",,"28,274",,"3,002",,"31,276",,642470,,"904,059",,32.799,-86.8073,"(32.799, -86.8073)",733287,,170772,
AK,Alaska,7/1/2018,Y,P,N,"2,911",Includes Renewals and/or Redeterminations,N/A,,"2,911",Includes Renewals and/or Redeterminations,"2,232",Includes Renewals and/or Redeterminations; Includes CHIP,,,"2,232",Includes Renewals and/or Redeterminations,94270,,"209,491",,61.385,-152.2683,"(61.385, -152.2683)",195832,,13659,
AK,Alaska,7/1/2018,Y,U,Y,"2,911",Includes Renewals and/or Redeterminations,N/A,,"2,911",Includes Renewals and/or Redeterminations,"2,232",Includes Renewals and/or Redeterminations; Includes CHIP,,,"2,232",Includes Renewals and/or Redeterminations,95035,,"211,609",,61.385,-152.2683,"(61.385, -152.2683)",197806,,13803,
AZ,Arizona,7/1/2018,Y,P,N,"113,328",,N/A,,"113,328",,,,,,,,,,"1,688,791",,14.2417,-170.7197,"(14.2417, -170.7197)",1589042,,99749,
AZ,Arizona,7/1/2018,Y,U,Y,"113,328",,N/A,,"113,328",,,,,,,,,,"1,688,791",,14.2417,-170.7197,"(14.2417, -170.7197)",1589042,,99749,
AR,Arkansas,7/1/2018,Y,P,Y,"19,144",,N/A,,"19,144",,"259,839",,244,,"260,083",,429813,,"878,537",Includes Private Option Enrollees,34.9513,-92.3809,"(34.9513, -92.3809)",795426,Includes Private Option Enrollees,83111,
CA,California,7/1/2018,Y,P,N,"165,763",Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,"165,763",,"153,506",Does Not Include All Medicaid Determinations Made At Application,"10,917",Does Not Include All CHIP Determinations Made At Application,"164,423",Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,5019446,,"11,960,965",,33.7712,-111.3877,"(33.7712, -111.3877)",10661264,,1299701,
CA,California,7/1/2018,Y,U,Y,"165,763",Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,"165,763",,"153,506",Does Not Include All Medicaid Determinations Made At Application,"10,917",Does Not Include All CHIP Determinations Made At Application,"164,423",Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,5062391,,"12,059,138",,33.7712,-111.3877,"(33.7712, -111.3877)",10748634,,1310504,
CO,Colorado,7/1/2018,Y,P,Y,"23,138",,1467,,"24,605",,"19,632",,367,,"19,999",,602370,,"1,337,830",,36.17,-119.7462,"(36.17, -119.7462)",1254819,,83011,
CT,Connecticut,7/1/2018,Y,P,Y,"4,702",Includes Duplicates,11289,Includes Duplicates; Includes Renewals and/or Redeterminations,"15,991",Includes Duplicates,"14,860",Includes Renewals and/or Redeterminations,347,Includes Renewals and/or Redeterminations,"15,207",Includes Renewals and/or Redeterminations,328869,,"845,276",,39.0646,-105.3272,"(39.0646, -105.3272)",826557,,18719,
DE,Delaware,7/1/2018,Y,P,Y,"2,900",,N/A,,"2,900",,"5,079",,756,,"5,835",,104828,,"247,466",,38.8964,-77.0262,"(38.8964, -77.0262)",236414,,11052,
DC,District of Columbia,7/1/2018,Y,P,N,"2,403",Includes SBM data,813,,"3,216",Includes Renewals and/or Redeterminations,"3,195",Includes Renewals and/or Redeterminations; Includes CHIP,,,"3,195",,,,"258,839",,41.5834,-72.7622,"(41.5834, -72.7622)",243426,,15413,
DC,District of Columbia,7/1/2018,Y,U,Y,"2,403",Includes SBM data,813,,"3,216",Includes Renewals and/or Redeterminations,"3,195",Includes Renewals and/or Redeterminations; Includes CHIP,,,"3,195",,,,"258,839",,41.5834,-72.7622,"(41.5834, -72.7622)",243426,,15413,
FL,Florida,7/1/2018,N,P,N,"312,278",Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,"312,278",Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,"190,972",Does Not Include All Determinations for Limited-Benefit Programs Made At Application,"23,065",,"214,037",Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2501165,,"4,229,664",,39.3498,-75.5148,"(39.3498, -75.5148)",4013314,,216350,
FL,Florida,7/1/2018,N,U,Y,"312,278",Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,"312,278",Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,"190,972",Does Not Include All Determinations for Limited-Benefit Programs Made At Application,"23,065",,"214,037",Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2501165,,"4,229,664",,39.3498,-75.5148,"(39.3498, -75.5148)",4013314,,216350,
GA,Georgia,7/1/2018,N,P,N,"47,138",,N/A,,"47,138",,"29,131",,"1,078",,"30,209",,1256936,,"1,834,246",,27.8333,-81.717,"(27.8333, -81.717)",1626213,,208033,
GA,Georgia,7/1/2018,N,U,Y,"47,138",,N/A,,"47,138",,"29,131",,"1,078",,"30,209",,1284074,,"1,874,411",,27.8333,-81.717,"(27.8333, -81.717)",1663520,,210891,
HI,Hawaii,7/1/2018,Y,P,N,"5,007",,N/A,,"5,007",,"5,789",,398,,"6,187",,142268,,"337,502",,32.9866,-83.6487,"(32.9866, -83.6487)",312619,,24883,
HI,Hawaii,7/1/2018,Y,U,Y,"5,007",,N/A,,"5,007",,"5,789",,398,,"6,187",,142484,,"337,722",,32.9866,-83.6487,"(32.9866, -83.6487)",312832,,24890,
ID,Idaho,7/1/2018,N,P,N,"7,561",,,,"7,561",,"6,117",,435,,"6,552",,196551,,"273,384",,42.0046,-93.214,"(42.0046, -93.214)",249029,,24355,
ID,Idaho,7/1/2018,N,U,Y,"7,529",,,,"7,529",,"6,093",,435,,"6,528",,197414,,"274,741",,42.0046,-93.214,"(42.0046, -93.214)",250297,,24444,
IL,Illinois,7/1/2018,Y,P,N,"67,279",,N/A,,"67,279",,"38,165",,"13,735",,"51,900",,1384518,,"2,949,575",,44.2394,-114.5103,"(44.2394, -114.5103)",2717536,,232039,
IL,Illinois,7/1/2018,Y,U,Y,"67,279",,N/A,,"67,279",,"38,165",,"13,735",,"51,900",,1394529,,"2,974,380",,44.2394,-114.5103,"(44.2394, -114.5103)",2742055,,232325,
IN,Indiana,7/1/2018,Y,P,N,"84,387",,N/A,,"84,387",,"34,905",,"2,736",,"37,641",,786805,,"1,439,013",,40.3363,-89.0022,"(40.3363, -89.0022)",1331258,,107755,
IN,Indiana,7/1/2018,Y,U,Y,"84,387",,N/A,,"84,387",,"34,905",,"2,736",,"37,641",,801393,,"1,448,302",,40.3363,-89.0022,"(40.3363, -89.0022)",1338462,,109840,
IA,Iowa,7/1/2018,Y,P,N,"12,257",Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,"12,257",Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,"1,413",Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,"1,413",Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,329335,,"678,106",,21.1098,-157.5311,"(21.1098, -157.5311)",607523,,70583,
IA,Iowa,7/1/2018,Y,U,Y,"14,283",Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,"14,283",Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,"1,413",Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,"1,413",Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,331854,,"683,936",,21.1098,-157.5311,"(21.1098, -157.5311)",613205,,70731,
KS,Kansas,7/1/2018,N,P,N,,,N/A,,,,,,,,,,268904,,"386,547",,39.8647,-86.2604,"(39.8647, -86.2604)",333779,,52768,
KS,Kansas,7/1/2018,N,U,Y,,,N/A,,,,,,,,,,268904,,"386,547",,39.8647,-86.2604,"(39.8647, -86.2604)",333779,,52768,
KY,Kentucky,7/1/2018,Y,P,Y,,,10256,,"10,256",,,,,,,,569737,,"1,241,612",,38.5111,-96.8005,"(38.5111, -96.8005)",1155772,,85840,
LA,Louisiana,7/1/2018,Y,P,Y,"25,442",,N/A,,"25,442",,"32,638",,"2,198",,"34,836",,725060,,"1,449,055",,37.669,-84.6514,"(37.669, -84.6514)",1321276,,127779,
ME,Maine,7/1/2018,N,P,N,"4,807",,N/A,,"4,807",,"9,052",,295,,"9,347",,107587,,"261,636",,39.0724,-76.7902,"(39.0724, -76.7902)",256801,,4835,
ME,Maine,7/1/2018,N,U,Y,"4,807",,N/A,,"4,807",,"8,876",,508,,"9,384",,109734,,"266,526",,39.0724,-76.7902,"(39.0724, -76.7902)",256343,,10183,
MD,Maryland,7/1/2018,Y,P,N,"8,107",,99494,Includes Renewals and/or Redeterminations,"107,601",Includes Renewals and/or Redeterminations,"31,549",Includes Renewals and/or Redeterminations,"3,790",Includes Renewals and/or Redeterminations,"35,339",Includes Renewals and/or Redeterminations,607943,,"1,296,128",,42.2373,-71.5314,"(42.2373, -71.5314)",1144979,,151149,
MD,Maryland,7/1/2018,Y,U,Y,"8,122",,99494,Includes Renewals and/or Redeterminations,"107,616",Includes Renewals and/or Redeterminations,"31,549",Includes Renewals and/or Redeterminations,"3,790",Includes Renewals and/or Redeterminations,"35,339",Includes Renewals and/or Redeterminations,615881,,"1,312,271",,42.2373,-71.5314,"(42.2373, -71.5314)",1160208,,152063,
MA,Massachusetts,7/1/2018,Y,P,N,"16,732",,2017,,"18,749",,,,,,,,669137,,"1,589,897",,31.1801,-91.8749,"(31.1801, -91.8749)",1414514,,175383,
MA,Massachusetts,7/1/2018,Y,U,Y,"18,185",,3124,,"21,309",,,,,,,,680159,,"1,609,281",,31.1801,-91.8749,"(31.1801, -91.8749)",1428462,,180819,
MI,Michigan,7/1/2018,Y,P,N,"50,188",,N/A,,"50,188",,"46,448",Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,"1,312",,"47,760",,940692,Does Not Include All Full-Benefit Child Medicaid enrollees,"2,332,229",Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2276438,Does Not Include All Full-Benefit Medicaid enrollees,55791,
